# lnl weight tau omegabh2 omegach2 logA theta ns
3.739032999999999902e+03 2.000000000000000000e+01 1.067118999999999984e-01 2.309123999999999899e-02 1.156321000000000015e-01 3.215345600953849026e+00 1.040371387791495968e-02 9.762286999999999493e-01
3.741128999999999905e+03 2.000000000000000000e+00 1.151514000000000010e-01 2.312583000000000000e-02 1.092440999999999968e-01 3.219352111425748841e+00 1.042120399223368972e-02 9.732151999999999470e-01
3.740414999999999964e+03 1.000000000000000000e+00 9.889760999999999691e-02 2.327291000000000082e-02 1.167042999999999969e-01 3.228540174238502924e+00 1.043307965209181939e-02 9.650109999999999522e-01
3.741974999999999909e+03 1.000000000000000000e+00 9.523758000000000223e-02 2.356518000000000154e-02 1.113940000000000069e-01 3.170612881693352314e+00 1.046792511610732980e-02 9.771412000000000431e-01
3.741277000000000044e+03 1.900000000000000000e+01 8.087598999999999483e-02 2.349294000000000035e-02 1.132371999999999962e-01 3.140260664430738036e+00 1.046096964279485952e-02 9.793775999999999593e-01
3.741106000000000222e+03 6.000000000000000000e+00 9.279642999999999919e-02 2.277509000000000131e-02 1.105769000000000057e-01 3.169475894829341556e+00 1.043448788307469073e-02 9.702172999999999492e-01
3.739239000000000033e+03 7.000000000000000000e+00 9.148154999999999482e-02 2.264636000000000080e-02 1.088178999999999952e-01 3.147286585733950037e+00 1.041422001919047047e-02 9.787234000000000211e-01
3.741931999999999789e+03 2.000000000000000000e+00 8.248120000000000451e-02 2.286401000000000058e-02 1.054207999999999951e-01 3.093201938173479437e+00 1.040195637330357942e-02 9.830174999999999885e-01
3.740039000000000215e+03 2.000000000000000000e+00 9.366857000000000655e-02 2.263501999999999875e-02 1.006707000000000019e-01 3.128972561311603062e+00 1.037764022528530998e-02 9.769044999999999535e-01
3.740358999999999924e+03 3.000000000000000000e+00 9.283629999999999660e-02 2.305596000000000034e-02 1.055262000000000006e-01 3.168175196924455594e+00 1.043320668467605933e-02 9.663745000000000251e-01
3.739847999999999956e+03 5.000000000000000000e+00 9.405557000000000500e-02 2.199776000000000162e-02 1.018478000000000022e-01 3.197840526144670736e+00 1.037115047700115991e-02 9.508725000000000094e-01
3.739304999999999836e+03 9.000000000000000000e+00 6.963197000000000136e-02 2.234297000000000019e-02 1.065674999999999956e-01 3.169869597358766278e+00 1.038074920910406033e-02 9.512458000000000302e-01
3.738865999999999985e+03 1.100000000000000000e+01 9.902561000000000002e-02 2.213642999999999861e-02 1.141545000000000060e-01 3.244157922214873313e+00 1.038352426963612928e-02 9.550303999999999460e-01
3.739271999999999935e+03 8.000000000000000000e+00 8.412337000000000287e-02 2.170309999999999948e-02 1.127800999999999942e-01 3.229531253616066522e+00 1.034827183973410954e-02 9.465175000000000116e-01
3.737807999999999993e+03 1.000000000000000000e+00 9.765896000000000299e-02 2.268902000000000072e-02 1.121468000000000048e-01 3.196125794243127149e+00 1.040620813483675994e-02 9.702851000000000115e-01
3.740681000000000040e+03 2.200000000000000000e+01 9.060801999999999745e-02 2.328656999999999949e-02 1.188823999999999992e-01 3.200560722657794344e+00 1.042967349254421937e-02 9.773711999999999955e-01
3.738822999999999865e+03 8.000000000000000000e+00 1.060668000000000027e-01 2.332137000000000099e-02 1.050032000000000049e-01 3.153372144781207087e+00 1.041905269498259040e-02 9.807968000000000242e-01
3.740067000000000007e+03 2.000000000000000000e+00 1.144268999999999981e-01 2.299508999999999928e-02 1.107414000000000037e-01 3.218010650712952003e+00 1.036860940465791046e-02 9.713083999999999607e-01
3.739708999999999833e+03 2.000000000000000000e+00 8.385663999999999618e-02 2.289332000000000172e-02 1.092074999999999990e-01 3.190369348737260857e+00 1.036590656805009940e-02 9.548138999999999932e-01
3.739641000000000076e+03 4.000000000000000000e+00 9.120256000000000196e-02 2.183256000000000085e-02 1.051408000000000065e-01 3.210496415471549181e+00 1.033752480535726943e-02 9.489682000000000395e-01
3.737978000000000065e+03 3.000000000000000000e+00 8.794441000000000064e-02 2.284322999999999909e-02 1.123491999999999963e-01 3.186166252158416867e+00 1.039122108011964959e-02 9.665272999999999781e-01
3.738221000000000004e+03 1.000000000000000000e+01 7.235347000000000306e-02 2.228549999999999975e-02 1.103063999999999989e-01 3.157622780635755078e+00 1.038074965129955063e-02 9.620088999999999446e-01
3.739007999999999811e+03 4.000000000000000000e+00 8.787931999999999688e-02 2.239092999999999986e-02 1.073173999999999934e-01 3.164300096552351782e+00 1.036211125111258062e-02 9.639988000000000445e-01
3.737635999999999967e+03 5.000000000000000000e+00 7.957002999999999993e-02 2.248487999999999876e-02 1.097902000000000045e-01 3.189377804779383929e+00 1.038092662315263925e-02 9.556462999999999486e-01
3.737755000000000109e+03 1.400000000000000000e+01 8.012076999999999394e-02 2.220253999999999978e-02 1.110249999999999987e-01 3.191620140413621964e+00 1.038983315063161071e-02 9.562167000000000305e-01
3.738648999999999887e+03 2.000000000000000000e+00 7.887853000000000225e-02 2.191645999999999872e-02 1.189395000000000036e-01 3.239460499227020840e+00 1.038009951664660077e-02 9.513875999999999999e-01
3.738710000000000036e+03 2.300000000000000000e+01 8.718916000000000166e-02 2.262283000000000002e-02 1.143277999999999933e-01 3.181171465469245785e+00 1.036683675698969048e-02 9.718533999999999784e-01
3.740067000000000007e+03 1.000000000000000000e+00 1.013268999999999975e-01 2.247833000000000123e-02 1.151768999999999987e-01 3.221142454122170928e+00 1.036076221198289037e-02 9.661925000000000097e-01
3.739775000000000091e+03 3.000000000000000000e+00 1.181602999999999959e-01 2.297534999999999855e-02 1.046687000000000034e-01 3.162455303424565933e+00 1.039116218657695941e-02 9.864905000000000479e-01
3.739635000000000218e+03 5.000000000000000000e+00 1.024714000000000041e-01 2.281980999999999940e-02 1.041453999999999991e-01 3.171411401515931594e+00 1.038430269855081939e-02 9.676069999999999949e-01
3.738559999999999945e+03 7.000000000000000000e+00 9.470370000000000177e-02 2.259838999999999945e-02 1.124252000000000029e-01 3.176197107704780365e+00 1.039493668839640977e-02 9.763266999999999918e-01
3.739431000000000040e+03 7.000000000000000000e+00 9.923481000000000662e-02 2.309912999999999897e-02 1.095021999999999940e-01 3.148309573410742246e+00 1.042019623859847914e-02 9.870438999999999741e-01
3.737833000000000084e+03 7.000000000000000000e+00 9.114629999999999954e-02 2.312954999999999872e-02 1.078897999999999940e-01 3.141659951265037165e+00 1.039902311975158915e-02 9.796728000000000103e-01
3.738068999999999960e+03 1.200000000000000000e+01 8.954455999999999527e-02 2.254671000000000106e-02 1.087556999999999968e-01 3.165408379252097948e+00 1.036540540321504063e-02 9.713910000000000045e-01
3.739038000000000011e+03 2.000000000000000000e+00 7.477385999999999755e-02 2.264570999999999945e-02 1.117091000000000056e-01 3.149647068419721752e+00 1.036548626108322983e-02 9.704066000000000081e-01
3.738949999999999818e+03 2.000000000000000000e+00 7.113849999999999341e-02 2.249989000000000156e-02 1.168145000000000017e-01 3.201235953129256462e+00 1.037934649225947040e-02 9.583656999999999870e-01
3.739750000000000000e+03 8.000000000000000000e+00 9.231298000000000281e-02 2.268939000000000025e-02 1.120952000000000059e-01 3.239239471234336865e+00 1.038520014242270972e-02 9.486632000000000398e-01
3.738742999999999938e+03 2.000000000000000000e+00 8.106339999999999379e-02 2.204452999999999968e-02 1.099427999999999933e-01 3.223776198401117732e+00 1.035368764490027065e-02 9.427630000000000177e-01
3.739224000000000160e+03 1.000000000000000000e+00 8.986492000000000091e-02 2.341624000000000136e-02 1.112925000000000025e-01 3.166150769157297429e+00 1.042853856862805025e-02 9.749965000000000437e-01
3.739125000000000000e+03 3.200000000000000000e+01 7.341517999999999655e-02 2.262039999999999884e-02 1.078172000000000019e-01 3.148795791205978745e+00 1.039404301541776987e-02 9.668681000000000081e-01
3.739005999999999858e+03 7.000000000000000000e+00 9.241322999999999899e-02 2.262760000000000118e-02 1.073897000000000046e-01 3.202748068953255256e+00 1.037442410887142938e-02 9.547227999999999826e-01
3.739981999999999971e+03 4.000000000000000000e+00 1.138252000000000014e-01 2.267438000000000092e-02 1.088607999999999937e-01 3.222471353202172484e+00 1.038101941112985066e-02 9.639130000000000198e-01
3.740572000000000116e+03 9.000000000000000000e+00 1.067608000000000029e-01 2.255234999999999879e-02 1.060230000000000061e-01 3.172420911875989624e+00 1.035264231402431914e-02 9.734637999999999902e-01
3.742186000000000149e+03 4.000000000000000000e+00 1.005921000000000037e-01 2.221982000000000124e-02 1.036011000000000015e-01 3.145559047329764102e+00 1.035741184496592054e-02 9.751265999999999545e-01
3.742197000000000116e+03 3.000000000000000000e+00 8.537361000000000255e-02 2.187170999999999907e-02 1.090803999999999940e-01 3.167894481818771535e+00 1.036518412330626922e-02 9.688811000000000506e-01
3.741630999999999858e+03 1.000000000000000000e+00 8.614816999999999614e-02 2.229100999999999999e-02 1.050930999999999949e-01 3.150133493422043518e+00 1.037119439760977001e-02 9.705656000000000283e-01
3.738641000000000076e+03 6.000000000000000000e+00 8.684237999999999680e-02 2.237632000000000163e-02 1.081981999999999944e-01 3.161406445036280655e+00 1.037716536216069969e-02 9.683036000000000421e-01
3.739827999999999975e+03 1.000000000000000000e+00 9.269322000000000672e-02 2.250771999999999842e-02 1.104336999999999958e-01 3.185301254211157840e+00 1.037848925520407951e-02 9.636285999999999463e-01
3.741130000000000109e+03 2.000000000000000000e+00 6.768030999999999353e-02 2.199850999999999890e-02 1.102040999999999993e-01 3.149685648203577326e+00 1.036384159639264051e-02 9.581636000000000042e-01
3.742891000000000076e+03 7.000000000000000000e+00 7.088666999999999885e-02 2.188808999999999894e-02 1.130840000000000040e-01 3.171471799564254290e+00 1.036695707802070057e-02 9.553034999999999721e-01
3.742382000000000062e+03 7.000000000000000000e+00 7.453179000000000054e-02 2.196905999999999859e-02 1.091349000000000069e-01 3.155405959181600384e+00 1.038967822876275988e-02 9.590389000000000275e-01
3.742673999999999978e+03 8.000000000000000000e+00 7.214470000000000605e-02 2.224908999999999915e-02 1.131351000000000023e-01 3.149986947973624218e+00 1.042168798590155029e-02 9.700727999999999573e-01
3.741784999999999854e+03 3.000000000000000000e+00 7.917657000000000167e-02 2.230887999999999968e-02 1.164016999999999968e-01 3.184264918211477724e+00 1.042831606396550995e-02 9.675439000000000123e-01
3.741195000000000164e+03 4.000000000000000000e+00 6.897208999999999979e-02 2.205228000000000049e-02 1.120208000000000037e-01 3.171500319596852968e+00 1.041627194408746050e-02 9.566449000000000202e-01
3.743911999999999807e+03 8.000000000000000000e+00 6.315513999999999850e-02 2.201654999999999932e-02 1.097029999999999950e-01 3.181965337088094703e+00 1.043140061023060949e-02 9.470895999999999759e-01
3.742340999999999894e+03 8.000000000000000000e+00 6.343627000000000293e-02 2.189384999999999942e-02 1.141627999999999948e-01 3.225288022716095604e+00 1.041120347772993976e-02 9.366231999999999891e-01
3.741925999999999931e+03 1.000000000000000000e+00 8.929223000000000021e-02 2.214995999999999979e-02 1.125078000000000050e-01 3.247971218781816383e+00 1.042636798667202942e-02 9.450220999999999760e-01
3.741125000000000000e+03 1.000000000000000000e+00 6.616566000000000114e-02 2.201157000000000113e-02 1.208568000000000003e-01 3.258441094039854491e+00 1.038975605245488938e-02 9.353664000000000422e-01
3.742762999999999920e+03 1.000000000000000000e+00 7.815205999999999542e-02 2.207724999999999965e-02 1.237361000000000016e-01 3.249445378264575357e+00 1.038306651405158931e-02 9.541420999999999930e-01
3.742659999999999854e+03 2.000000000000000000e+00 7.175931000000000670e-02 2.279766000000000084e-02 1.164551000000000058e-01 3.148172634476492870e+00 1.039249852150170988e-02 9.758434000000000275e-01
3.739530000000000200e+03 3.000000000000000000e+00 8.833188999999999624e-02 2.240610999999999992e-02 1.118928000000000006e-01 3.188989236910787728e+00 1.038211613385595956e-02 9.667088999999999821e-01
3.739507000000000062e+03 7.000000000000000000e+00 7.894822999999999424e-02 2.232707000000000094e-02 1.100846999999999937e-01 3.198246495948380730e+00 1.036742070179414062e-02 9.549826000000000148e-01
3.738746999999999844e+03 8.000000000000000000e+00 8.944849000000000550e-02 2.268449000000000160e-02 1.095764999999999934e-01 3.172236106831165969e+00 1.040317885254428941e-02 9.707133999999999485e-01
3.738724000000000160e+03 6.000000000000000000e+00 8.575159999999999727e-02 2.325137999999999858e-02 1.030023000000000050e-01 3.124357651344084719e+00 1.039656821191571948e-02 9.708333999999999575e-01
3.739952000000000226e+03 3.000000000000000000e+00 7.182009000000000309e-02 2.241438999999999931e-02 1.060809999999999947e-01 3.172771570411697883e+00 1.038400281155429060e-02 9.516141000000000183e-01
3.740322999999999865e+03 9.000000000000000000e+00 5.745792000000000260e-02 2.243763000000000007e-02 1.112993000000000038e-01 3.166901456497146494e+00 1.036350681266775056e-02 9.485352000000000228e-01
3.738860000000000127e+03 1.000000000000000000e+00 7.701349000000000389e-02 2.253377000000000158e-02 1.115715000000000040e-01 3.161953665470914387e+00 1.039129519697912923e-02 9.630414000000000474e-01
3.738168000000000120e+03 3.000000000000000000e+00 8.004245999999999583e-02 2.259407999999999903e-02 1.091970000000000024e-01 3.147594193309880328e+00 1.040838789151862960e-02 9.705563999999999858e-01
3.739349999999999909e+03 1.000000000000000000e+01 9.106250999999999929e-02 2.295886999999999928e-02 1.038203999999999932e-01 3.141893263500513900e+00 1.042053277433472973e-02 9.716050000000000519e-01
3.740168000000000120e+03 8.000000000000000000e+00 1.153605999999999937e-01 2.345221999999999932e-02 1.037601999999999969e-01 3.158048382485065364e+00 1.043246636819981921e-02 9.832195000000000240e-01
3.740987999999999829e+03 1.200000000000000000e+01 8.857184999999999364e-02 2.233792000000000069e-02 1.004087000000000035e-01 3.131404123763862568e+00 1.039502084930096944e-02 9.652102000000000182e-01
3.740784999999999854e+03 8.000000000000000000e+00 1.038381000000000026e-01 2.237470000000000084e-02 1.030514000000000013e-01 3.156705909700767254e+00 1.040165981975594948e-02 9.725757000000000430e-01
3.740474000000000160e+03 2.000000000000000000e+00 1.013437999999999978e-01 2.218182000000000140e-02 1.029652000000000067e-01 3.175189314871456947e+00 1.040152514749338036e-02 9.641199000000000296e-01
3.742405000000000200e+03 6.000000000000000000e+00 1.189106999999999942e-01 2.273545999999999900e-02 9.856165999999999539e-02 3.147117705032294044e+00 1.039952060551441008e-02 9.841298000000000545e-01
3.742005999999999858e+03 1.100000000000000000e+01 1.199519000000000002e-01 2.339050999999999977e-02 1.019981999999999972e-01 3.118414400154166710e+00 1.042243534769680957e-02 9.990655000000000507e-01
3.742713000000000193e+03 7.000000000000000000e+00 1.146159000000000067e-01 2.234194999999999931e-02 1.153094000000000063e-01 3.225154075344493165e+00 1.037876327843373012e-02 9.771351000000000342e-01
3.746990999999999985e+03 1.000000000000000000e+00 1.211541000000000007e-01 2.132148000000000029e-02 1.158271000000000023e-01 3.308512120409448976e+00 1.034400986685981086e-02 9.482641000000000542e-01
3.747447999999999865e+03 2.000000000000000000e+00 1.186972000000000027e-01 2.095344000000000026e-02 1.110808999999999963e-01 3.335506196462535655e+00 1.032057020680718015e-02 9.296830000000000371e-01
3.743947000000000116e+03 1.000000000000000000e+00 1.017216999999999982e-01 2.109010999999999872e-02 1.119929999999999953e-01 3.290823579717451430e+00 1.037597323629762917e-02 9.380410000000000137e-01
3.741731999999999971e+03 1.000000000000000000e+00 9.841489999999999960e-02 2.217741999999999977e-02 1.215064000000000005e-01 3.303073580668778320e+00 1.039756440644266054e-02 9.430996000000000379e-01
